ten_truyen_tieng_viet,nguon_tieng_viet,chap_da_dich,last_updated_tieng_viet,so_luong_doc,ten_truyen_original,nguon_original,chap_original,last_update_original,tag
Awkward Senpai,https://mollymax.co.uk/truyen-tranh/awkward-senpai,Chương 58,09/04/2026,389.428,N/A,N/A,N/A,N/A,update
Ngàn Năm Bảo Hộ Đại Nhân,https://mollymax.co.uk/truyen-tranh/ngan-nam-bao-ho-dai-nhan,Chương 51,09/04/2026,1.691,N/A,N/A,N/A,N/A,update
Gia Đình Ly Thân,https://mollymax.co.uk/truyen-tranh/gia-dinh-ly-than,Chương 14,10/04/2026,162,N/A,N/A,N/A,N/A,update
Hầm Ngục Hướng Dẫn Cấp Địa Ngục,https://mollymax.co.uk/truyen-tranh/ham-nguc-huong-dan-cap-dia-nguc,Chương 259,09/04/2026,2.819.674,N/A,N/A,N/A,N/A,update
Em Là Tất Cả Tinh Tú Của Anh,https://mollymax.co.uk/truyen-tranh/em-la-tat-ca-tinh-tu-cua-anh,Chương 54,09/04/2026,711,N/A,N/A,N/A,N/A,update
Tuyệt Đối Dân Cư,https://mollymax.co.uk/truyen-tranh/tuyet-doi-dan-cu,Chương 74,09/04/2026,642.569,N/A,N/A,N/A,N/A,update
"Trời Sinh Mị Cốt, Ta Bị Đồ Nhi Yandere Để Mắt Tới",https://mollymax.co.uk/truyen-tranh/troi-sinh-mi-cot-ta-bi-do-nhi-yandere-de-mat-toi,Chương 100,09/04/2026,476.214,N/A,N/A,N/A,N/A,update
Bạn Thuở Nhỏ Của Tôi Là Thú Nhân,https://mollymax.co.uk/truyen-tranh/ban-thuo-nho-cua-toi-la-thu-nhan,Chương 2,09/04/2026,520,N/A,N/A,N/A,N/A,update
Tiểu Thư Kiêu Kỳ Sa Ngã Thành Thường Dân Và Rơi Vào Tay Gã Tay Chơi Bất Lương Mà Cô Từng Coi Thường,https://mollymax.co.uk/truyen-tranh/tieu-thu-kieu-ky-sa-nga-thanh-thuong-dan-va-roi-vao-tay-ga-tay-choi-bat-luong-ma-co-tung-coi-thuong,Chương 2,09/04/2026,287,N/A,N/A,N/A,N/A,update
Nhất Nhân Chi Hạ,https://mollymax.co.uk/truyen-tranh/nhat-nhan-chi-ha,Chương 666,09/04/2026,2.424.285,N/A,N/A,N/A,N/A,update
Ngôi Sao Đỉnh Lưu,https://mollymax.co.uk/truyen-tranh/ngoi-sao-dinh-luu,Chương 48,09/04/2026,15.697,N/A,N/A,N/A,N/A,update
Abandoned ~Tsuyosugite Buki Ga Kowareru Yuusha To Buki Shokunin No Elf~,https://mollymax.co.uk/truyen-tranh/abandoned-tsuyosugite-buki-ga-kowareru-yuusha-to-buki-shokunin-no-elf-,Chương 8,09/04/2026,395,N/A,N/A,N/A,N/A,update
Garbage Time,https://mollymax.co.uk/truyen-tranh/garbage-time,Chương 187,09/04/2026,183.283,N/A,N/A,N/A,N/A,update
Tâm Cơ Hôn Sủng,https://mollymax.co.uk/truyen-tranh/tam-co-hon-sung,Chương 179,09/04/2026,22.582,N/A,N/A,N/A,N/A,update
Nue No Onmyouji,https://mollymax.co.uk/truyen-tranh/nue-no-onmyouji,Chương 4,09/04/2026,347,N/A,N/A,N/A,N/A,update
Tỷ Phú Ở Rể,https://mollymax.co.uk/truyen-tranh/ty-phu-o-re,Chương 28,09/04/2026,1.984,N/A,N/A,N/A,N/A,update
Mẹ Đơn Thân Và Nổi Ám Ảnh Của Thái Tử,https://mollymax.co.uk/truyen-tranh/me-don-than-va-noi-am-anh-cua-thai-tu,Chương 30,09/04/2026,1.408,N/A,N/A,N/A,N/A,update
Cuộc Sống Thường Ngày Của Gia Đình Doujima,https://mollymax.co.uk/truyen-tranh/cuoc-song-thuong-ngay-cua-gia-dinh-doujima,Chương 3,09/04/2026,3.359,N/A,N/A,N/A,N/A,update
Bastard!!: Thần Hủy Diệt Bóng Tối,https://mollymax.co.uk/truyen-tranh/bastard-than-huy-diet-bong-toi,Chương 1.2,09/04/2026,150,N/A,N/A,N/A,N/A,update
Kết Thúc Của Nhân Vật Phản Diện Chỉ Có Thể Là Cái Chết,https://mollymax.co.uk/truyen-tranh/ket-thuc-cua-nhan-vat-phan-dien-chi-co-the-la-cai-chet,Chương 205,09/04/2026,6.020.494,N/A,N/A,N/A,N/A,update
"Khi Tôi Cố Gắng Trả Thù Những Kẻ Bắt Nạt Ở Quê Nhà, Một Cuộc Chiến Khác Lại Bắt Đầu",https://mollymax.co.uk/truyen-tranh/khi-toi-co-gang-tra-thu-nhung-ke-bat-nat-o-que-nha-mot-cuoc-chien-khac-lai-bat-dau,Chương 42,09/04/2026,4.415,N/A,N/A,N/A,N/A,update
Cô Nàng Đẹp Mã Mà Bạn Gái Tôi Thích Đang Nhắm Tới Tôi,https://mollymax.co.uk/truyen-tranh/co-nang-dep-ma-ma-ban-gai-toi-thich-dang-nham-toi-toi,Chương 14,09/04/2026,12.840,N/A,N/A,N/A,N/A,update
Tôi Chỉ Định Chăm Sóc Người Cha Ốm Yếu Của Mình Thôi Mà,https://mollymax.co.uk/truyen-tranh/toi-chi-di-nh-cham-so-c-nguo-i-cha-o-m-ye-u-cu-a-mi-nh-thoi-ma,Chương 42,09/04/2026,2.034,N/A,N/A,N/A,N/A,update
Thợ Săn Ác Linh,https://mollymax.co.uk/truyen-tranh/tho-san-ac-linh,Chương 77,09/04/2026,4.367,N/A,N/A,N/A,N/A,update
Bắt Đầu Với Trăm Vạn Minh Tệ,https://mollymax.co.uk/truyen-tranh/bat-dau-voi-tram-van-minh-te,Chương 298,09/04/2026,13.291.685,N/A,N/A,N/A,N/A,update
Cá Con (Vảy Cá),https://mollymax.co.uk/truyen-tranh/ca-con-vay-ca,Chương 93,09/04/2026,2.520,N/A,N/A,N/A,N/A,update
Từ Giờ Làm Con Của Thần Rắn Nhé,https://mollymax.co.uk/truyen-tranh/tu-gio-lam-con-cua-than-ran-nhe,Chương 8,09/04/2026,2.274,N/A,N/A,N/A,N/A,update
Hội Chứng Mẫn Cảm Cao,https://mollymax.co.uk/truyen-tranh/hoi-chung-man-cam-cao,Chương 18,09/04/2026,1.250,N/A,N/A,N/A,N/A,update
Misaki-Kun Wa Kouryaku Chara Janai,https://mollymax.co.uk/truyen-tranh/misaki-kun-wa-kouryaku-chara-janai,Chương 29,09/04/2026,5.721,N/A,N/A,N/A,N/A,update
Người Chơi Che Giấu Quá Khứ,https://mollymax.co.uk/truyen-tranh/nguoi-choi-che-giau-qua-khu,Chương 114,09/04/2026,2.593.395,N/A,N/A,N/A,N/A,update
Một Đêm Đầy Sao,https://mollymax.co.uk/truyen-tranh/mot-dem-day-sao,Oneshot,09/04/2026,274,N/A,N/A,N/A,N/A,update
Thiên Hạ Ai Không Biết Quân,https://mollymax.co.uk/truyen-tranh/thien-ha-ai-khong-biet-quan,Chương 22,09/04/2026,590,N/A,N/A,N/A,N/A,update
Trước Đây Và Sau Này,https://mollymax.co.uk/truyen-tranh/truoc-day-va-sau-nay,Oneshot,09/04/2026,238,N/A,N/A,N/A,N/A,update
Nỗi Ám Ảnh Dành Cho Công Tước Phu Nhân,https://mollymax.co.uk/truyen-tranh/noi-am-anh-danh-cho-cong-tuoc-phu-nhan,Chương 29,09/04/2026,895,N/A,N/A,N/A,N/A,update
Danjonbando,https://mollymax.co.uk/truyen-tranh/danjonbando,Chương 12,09/04/2026,3.540,N/A,N/A,N/A,N/A,update
Chuyện Chị Đồng Nghiệp Của Tôi,https://mollymax.co.uk/truyen-tranh/chuyen-chi-dong-nghiep-cua-toi,Chương 64,09/04/2026,549,N/A,N/A,N/A,N/A,update
Dũng Giả Tổ Đội Mạn Họa,https://mollymax.co.uk/truyen-tranh/dung-gia-to-doi-man-hoa,Chương 53,09/04/2026,9.813,N/A,N/A,N/A,N/A,update
Cảnh Sát Tại Làng Elf Ở Thế Giới Khác,https://mollymax.co.uk/truyen-tranh/canh-sat-tai-lang-elf-o-the-gioi-khac,Chương 6,09/04/2026,1.336,N/A,N/A,N/A,N/A,update
Cổ Nhạc Phong Hoa Lục,https://mollymax.co.uk/truyen-tranh/co-nhac-phong-hoa-luc,Chương 0,09/04/2026,297,N/A,N/A,N/A,N/A,update
Tsukimino Karma Wa Akumade Boku No Pet Nanoni,https://mollymax.co.uk/truyen-tranh/tsukimino-karma-wa-akumade-boku-no-pet-nanoni,Chương 1,09/04/2026,479,N/A,N/A,N/A,N/A,update
Alma,https://mollymax.co.uk/truyen-tranh/alma,Chương 26,09/04/2026,19.280,N/A,N/A,N/A,N/A,update
Jigoku Kawaii Enma-Chan,https://mollymax.co.uk/truyen-tranh/jigoku-kawaii-enma-chan,Chương 5,09/04/2026,1.530,N/A,N/A,N/A,N/A,update
Nhật Ký Của Thợ Săn Hạng S,https://mollymax.co.uk/truyen-tranh/nhat-ky-cua-tho-san-hang-s,Chương 41,09/04/2026,13.757,N/A,N/A,N/A,N/A,update
Thủy Cung Đáy Biển Magmell,https://mollymax.co.uk/truyen-tranh/thuy-cung-day-bien-magmell,Chương 4.5,09/04/2026,477,N/A,N/A,N/A,N/A,update
Bạn Gái Nam Tính Với Độ Ẩm Cao,https://mollymax.co.uk/truyen-tranh/ban-gai-nam-tinh-voi-do-am-cao,Chương 67,09/04/2026,816.834,N/A,N/A,N/A,N/A,update
Endoro~,https://mollymax.co.uk/truyen-tranh/endoro-,Chương 5,09/04/2026,407,N/A,N/A,N/A,N/A,update
Chào Mừng Cậu Đến Trường Iruma-Kun,https://mollymax.co.uk/truyen-tranh/chao-mung-cau-den-truong-iruma-kun,Chương 439,09/04/2026,71.522.427,N/A,N/A,N/A,N/A,update
Hầu Tước Maron,https://mollymax.co.uk/truyen-tranh/hau-tuoc-maron,Chương 43,09/04/2026,3.126,N/A,N/A,N/A,N/A,update
Itoko No Ko,https://mollymax.co.uk/truyen-tranh/itoko-no-ko,Chương 999,09/04/2026,64.979,N/A,N/A,N/A,N/A,update
Tyra Và Cera,https://mollymax.co.uk/truyen-tranh/tyra-va-cera,Chương 17,09/04/2026,16.269,N/A,N/A,N/A,N/A,update
Ngã Lão Ma Thần,https://mollymax.co.uk/truyen-tranh/nga-lao-ma-than,Chương 307,09/04/2026,23.210.880,N/A,N/A,N/A,N/A,update
Toàn Cầu Ngự Thú: Ta Có Thể Thấy Lộ Tuyến Tiến Hoá,https://mollymax.co.uk/truyen-tranh/toan-cau-ngu-thu-ta-co-the-thay-lo-tuyen-tien-hoa,Chương 74,09/04/2026,285.048,N/A,N/A,N/A,N/A,update
Đăng Ký Kênh Siêu Phàm,https://mollymax.co.uk/truyen-tranh/dang-ky-kenh-sieu-pham,Chương 104,09/04/2026,1.108.886,N/A,N/A,N/A,N/A,update
Tiểu Thư Báo Tuyết Của Gia Tộc Báo Đen,https://mollymax.co.uk/truyen-tranh/tieu-thu-bao-tuyet-cua-gia-toc-bao-den,Chương 55,09/04/2026,6.506,N/A,N/A,N/A,N/A,update
Vị Vua Mạnh Nhất Đã Trở Lại,https://mollymax.co.uk/truyen-tranh/vi-vua-manh-nhat-da-tro-lai,Chương 171,09/04/2026,12.921.962,N/A,N/A,N/A,N/A,update
Awkward Senpai,https://mollymax.co.uk/truyen-tranh/awkward-senpai,Chương 58,09/04/2026,389.428,N/A,N/A,N/A,N/A,update
Vạn Tộc Xâm Lược: Bắt Đầu Thuần Hóa Cự Thú Cấp Sử Thi,https://mollymax.co.uk/truyen-tranh/van-toc-xam-luoc-bat-dau-thuan-hoa-cu-thu-cap-su-thi,Chương 76,09/04/2026,101.997,N/A,N/A,N/A,N/A,update
Ngàn Năm Bảo Hộ Đại Nhân,https://mollymax.co.uk/truyen-tranh/ngan-nam-bao-ho-dai-nhan,Chương 51,09/04/2026,1.691,N/A,N/A,N/A,N/A,update
Thống Lĩnh Học Viện Chỉ Bằng Dao Sashimi,https://mollymax.co.uk/truyen-tranh/thong-linh-hoc-vien-chi-bang-dao-sashimi,Chương 74,09/04/2026,9.672.378,N/A,N/A,N/A,N/A,update
Hầm Ngục Hướng Dẫn Cấp Địa Ngục,https://mollymax.co.uk/truyen-tranh/ham-nguc-huong-dan-cap-dia-nguc,Chương 259,09/04/2026,2.819.674,N/A,N/A,N/A,N/A,update
Sự Trở Lại Của Anh Hùng Cấp Thảm Họa,https://mollymax.co.uk/truyen-tranh/su-tro-lai-cua-anh-hung-cap-tham-hoa,Chương 171,09/04/2026,7.964,N/A,N/A,N/A,N/A,update
"Trời Sinh Mị Cốt, Ta Bị Đồ Nhi Yandere Để Mắt Tới",https://mollymax.co.uk/truyen-tranh/troi-sinh-mi-cot-ta-bi-do-nhi-yandere-de-mat-toi,Chương 100,09/04/2026,476.214,N/A,N/A,N/A,N/A,update
Có Lẽ Là Vô Địch,https://mollymax.co.uk/truyen-tranh/co-le-la-vo-dich,Chương 56,09/04/2026,449.081,N/A,N/A,N/A,N/A,update
Tù Nhân Thị Trấn Hoàng Hôn,https://mollymax.co.uk/truyen-tranh/tu-nhan-thi-tran-hoang-hon,Chương 35,09/04/2026,4.486,N/A,N/A,N/A,N/A,update
Nhất Nhân Chi Hạ,https://mollymax.co.uk/truyen-tranh/nhat-nhan-chi-ha,Chương 666,09/04/2026,2.424.285,N/A,N/A,N/A,N/A,update
Cuộc Đời Mạt Thế Hoàn Mỹ Của Tôi,https://mollymax.co.uk/truyen-tranh/cuoc-doi-mat-the-hoan-my-cua-toi,Chương 45,09/04/2026,13.585,N/A,N/A,N/A,N/A,update
Ngôi Sao Đỉnh Lưu,https://mollymax.co.uk/truyen-tranh/ngoi-sao-dinh-luu,Chương 48,09/04/2026,15.697,N/A,N/A,N/A,N/A,update
Mạt Thế Kiếm Thần: Ta Chấn Kinh Toàn Cầu,https://mollymax.co.uk/truyen-tranh/mat-the-kiem-than-ta-chan-kinh-toan-cau,Chương 128,09/04/2026,1.043.926,N/A,N/A,N/A,N/A,update
Fog Land,https://mollymax.co.uk/truyen-tranh/fog-land,Chương 31,09/04/2026,1.719,N/A,N/A,N/A,N/A,update
Tâm Cơ Hôn Sủng,https://mollymax.co.uk/truyen-tranh/tam-co-hon-sung,Chương 179,09/04/2026,22.582,N/A,N/A,N/A,N/A,update
Anh Hùng Tái Xuất Học Viện,https://mollymax.co.uk/truyen-tranh/anh-hung-tai-xuat-hoc-vien,Chương 50,09/04/2026,60.369,N/A,N/A,N/A,N/A,update
Killing Bites,https://mollymax.co.uk/truyen-tranh/killing-bites,Chương 47,09/04/2026,556.456,N/A,N/A,N/A,N/A,update
Cuộc Sống Thường Ngày Của Gia Đình Doujima,https://mollymax.co.uk/truyen-tranh/cuoc-song-thuong-ngay-cua-gia-dinh-doujima,Chương 3,09/04/2026,3.359,N/A,N/A,N/A,N/A,update
Kết Thúc Của Nhân Vật Phản Diện Chỉ Có Thể Là Cái Chết,https://mollymax.co.uk/truyen-tranh/ket-thuc-cua-nhan-vat-phan-dien-chi-co-the-la-cai-chet,Chương 205,09/04/2026,6.020.494,N/A,N/A,N/A,N/A,update
Chiến Đội Đại Thất Cách,https://mollymax.co.uk/truyen-tranh/chien-doi-dai-that-cach,Chương 212,09/04/2026,1.243.361,N/A,N/A,N/A,N/A,update
Tôi Chỉ Định Chăm Sóc Người Cha Ốm Yếu Của Mình Thôi Mà,https://mollymax.co.uk/truyen-tranh/toi-chi-di-nh-cham-so-c-nguo-i-cha-o-m-ye-u-cu-a-mi-nh-thoi-ma,Chương 42,09/04/2026,2.034,N/A,N/A,N/A,N/A,update
"Saijo No Osewa Takane No Hana-Darakena Meimon-Kou De, Gakuin Ichi No Ojou-Sama (Seikatsu Nouryoku Kaimu) Wo Kagenagara Osewa Suru Koto Ni Narimashita",https://mollymax.co.uk/truyen-tranh/saijo-no-osewa-takane-no-hana-darakena-meimon-kou-de-gakuin-ichi-no-ojou-sama-seikatsu-nouryoku-kaimu-wo-kagenagara-osewa-suru-koto-ni-narimashita,Chương 32,09/04/2026,1.881.912,N/A,N/A,N/A,N/A,update
Siêu Cấp Thần Cơ Nhân,https://mollymax.co.uk/truyen-tranh/sieu-cap-than-co-nhan,Chương 446,09/04/2026,5.755.680,N/A,N/A,N/A,N/A,update
Bắt Đầu Với Trăm Vạn Minh Tệ,https://mollymax.co.uk/truyen-tranh/bat-dau-voi-tram-van-minh-te,Chương 298,09/04/2026,13.291.685,N/A,N/A,N/A,N/A,update
Hẹn Ước Sau Mưa,https://mollymax.co.uk/truyen-tranh/hen-uoc-sau-mua,Chương 9,09/04/2026,621,N/A,N/A,N/A,N/A,update
Cá Con (Vảy Cá),https://mollymax.co.uk/truyen-tranh/ca-con-vay-ca,Chương 93,09/04/2026,2.520,N/A,N/A,N/A,N/A,update
Cuộc Phiêu Lưu Kỳ Bí Của Jojo Phần 8: Jojolion,https://mollymax.co.uk/truyen-tranh/cuoc-phieu-luu-ky-bi-cua-jojo-phan-8-jojolion,Chương 89,09/04/2026,3.783,N/A,N/A,N/A,N/A,update
Sắp Xuất Ngũ Thì Isekai,https://mollymax.co.uk/truyen-tranh/sap-xuat-ngu-thi-isekai,Chương 194,09/04/2026,1.413.316,N/A,N/A,N/A,N/A,update
Hội Chứng Mẫn Cảm Cao,https://mollymax.co.uk/truyen-tranh/hoi-chung-man-cam-cao,Chương 18,09/04/2026,1.250,N/A,N/A,N/A,N/A,update
Người Chơi Che Giấu Quá Khứ,https://mollymax.co.uk/truyen-tranh/nguoi-choi-che-giau-qua-khu,Chương 114,09/04/2026,2.593.395,N/A,N/A,N/A,N/A,update
Sự Tái Sinh Của Nhà Thiết Kế Tài Ba,https://mollymax.co.uk/truyen-tranh/su-tai-sinh-cua-nha-thiet-ke-tai-ba,Chương 62,09/04/2026,31.213,N/A,N/A,N/A,N/A,update
Thiên Hạ Ai Không Biết Quân,https://mollymax.co.uk/truyen-tranh/thien-ha-ai-khong-biet-quan,Chương 22,09/04/2026,590,N/A,N/A,N/A,N/A,update
Nỗi Ám Ảnh Dành Cho Công Tước Phu Nhân,https://mollymax.co.uk/truyen-tranh/noi-am-anh-danh-cho-cong-tuoc-phu-nhan,Chương 29,09/04/2026,895,N/A,N/A,N/A,N/A,update
Quỷ Bí Thức Tỉnh: Mở Màn Nắm Giữ Nghìn Tỷ Quỷ Tệ,https://mollymax.co.uk/truyen-tranh/quy-bi-thuc-tinh-mo-man-nam-giu-nghin-ty-quy-te,Chương 22,09/04/2026,2.481,N/A,N/A,N/A,N/A,update
Chuyện Chị Đồng Nghiệp Của Tôi,https://mollymax.co.uk/truyen-tranh/chuyen-chi-dong-nghiep-cua-toi,Chương 64,09/04/2026,549,N/A,N/A,N/A,N/A,update
Ma Pháp Sư Thiên Tài Bị Giới Hạn Thời Gian,https://mollymax.co.uk/truyen-tranh/ma-phap-su-thien-tai-bi-gioi-han-thoi-gian,Chương 49,09/04/2026,43.477,N/A,N/A,N/A,N/A,update
Loạn Đấu Tokyo,https://mollymax.co.uk/truyen-tranh/loan-dau-tokyo,Chương 113,09/04/2026,495.928,N/A,N/A,N/A,N/A,update
"Fukushuu O Koinegau Saikyou Yuusha Wa, Yami No Chikara De Senmetsu Musou Suru",https://mollymax.co.uk/truyen-tranh/fukushuu-o-koinegau-saikyou-yuusha-wa-yami-no-chikara-de-senmetsu-musou-suru,Chương 126,09/04/2026,217.247,N/A,N/A,N/A,N/A,update
Kimi No Koto Ga Dai Dai Dai Dai Daisuki Na 100-Ri No Kanojo,https://mollymax.co.uk/truyen-tranh/kimi-no-koto-ga-dai-dai-dai-dai-daisuki-na-100-ri-no-kanojo,Chương 245.5,09/04/2026,10.449.495,N/A,N/A,N/A,N/A,update
Thiên Sư Phục Linh,https://mollymax.co.uk/truyen-tranh/thien-su-phuc-linh,Chương 35,09/04/2026,1.485,N/A,N/A,N/A,N/A,update
Pháp Sư Mạnh Nhất,https://mollymax.co.uk/truyen-tranh/phap-su-manh-nhat,Chương 26,09/04/2026,645,N/A,N/A,N/A,N/A,update
Cổ Nhạc Phong Hoa Lục,https://mollymax.co.uk/truyen-tranh/co-nhac-phong-hoa-luc,Chương 0,09/04/2026,297,N/A,N/A,N/A,N/A,update
Hình Như Tôi Đã Xuyên Vào Cuốn Tiểu Thuyết Nào Đó,https://mollymax.co.uk/truyen-tranh/hinh-nhu-toi-da-xuyen-vao-cuon-tieu-thuyet-nao-do,Chương 83,09/04/2026,107.845,N/A,N/A,N/A,N/A,update
Alma,https://mollymax.co.uk/truyen-tranh/alma,Chương 26,09/04/2026,19.280,N/A,N/A,N/A,N/A,update
Nhật Ký Của Thợ Săn Hạng S,https://mollymax.co.uk/truyen-tranh/nhat-ky-cua-tho-san-hang-s,Chương 41,09/04/2026,13.757,N/A,N/A,N/A,N/A,update
Bạn Gái Nam Tính Với Độ Ẩm Cao,https://mollymax.co.uk/truyen-tranh/ban-gai-nam-tinh-voi-do-am-cao,Chương 67,09/04/2026,816.834,N/A,N/A,N/A,N/A,update
Hầu Tước Maron,https://mollymax.co.uk/truyen-tranh/hau-tuoc-maron,Chương 43,09/04/2026,3.126,N/A,N/A,N/A,N/A,update
Itoko No Ko,https://mollymax.co.uk/truyen-tranh/itoko-no-ko,Chương 999,09/04/2026,64.979,N/A,N/A,N/A,N/A,update
Ngã Lão Ma Thần,https://mollymax.co.uk/truyen-tranh/nga-lao-ma-than,Chương 307,09/04/2026,23.210.880,N/A,N/A,N/A,N/A,update
Kuroiwa Medaka Ni Watashi No Kawaii Ga Tsuujinai,https://mollymax.co.uk/truyen-tranh/kuroiwa-medaka-ni-watashi-no-kawaii-ga-tsuujinai,Chương 210,09/04/2026,7.226.745,N/A,N/A,N/A,N/A,update
"Chuyển Sinh Thành Thất Hoàng Tử, Tôi Sẽ Tự Do Tùy Ý Trau Dồi Ma Thuật",https://mollymax.co.uk/truyen-tranh/chuyen-sinh-thanh-that-hoang-tu-toi-se-tu-do-tuy-y-trau-doi-ma-thuat,Chương 199,09/04/2026,2.471,N/A,N/A,N/A,N/A,update
Đăng Ký Kênh Siêu Phàm,https://mollymax.co.uk/truyen-tranh/dang-ky-kenh-sieu-pham,Chương 104,09/04/2026,1.108.886,N/A,N/A,N/A,N/A,update
